event_id,pre_date,post_date,tile,burned_ha,other_fire_ha,pre_scene,post_scene
21,2020-05-10,2020-09-12,T35TLF,56,34,S2A_MSIL2A_20200510T090601_N0214_R050_T35TLF_20200512T164010,S2B_MSIL2A_20200912T090559_N0214_R050_T35TLF_20200912T120358
23,2020-06-29,2020-09-02,T35SKB,57,907,S2A_MSIL2A_20200629T090601_N0214_R050_T35SKB_20200629T120110,S2B_MSIL2A_20200902T090559_N0214_R050_T35SKB_20200902T113910
28,2020-06-29,2020-07-29,T34SFH,31,2108,S2A_MSIL2A_20200629T090601_N0214_R050_T34SFH_20200629T120110,S2A_MSIL2A_20200729T090601_N0214_R050_T34SFH_20200729T120034
30,2020-09-07,2020-09-12,T35SKB,907,57,S2A_MSIL2A_20200907T090601_N0214_R050_T35SKB_20200907T122358,S2B_MSIL2A_20200912T090559_N0214_R050_T35SKB_20200912T120358
31,2020-07-19,2020-09-02,T35SLB,82,145,S2A_MSIL2A_20200719T090601_N0214_R050_T35SLB_20200719T120100,S2B_MSIL2A_20200902T090559_N0214_R050_T35SLB_20200902T113910
32,2020-07-01,2020-08-30,T35SMD,36,135,S2B_MSIL2A_20200701T085559_N0214_R007_T35SMD_20200701T124301,S2B_MSIL2A_20200830T085559_N0214_R007_T35SMD_20200830T111825
33,2020-07-12,2020-09-25,T34SEG,285,562,S2A_MSIL2A_20200712T092031_N0214_R093_T34SEG_20200712T121319,S2B_MSIL2A_20200925T092029_N0214_R093_T34SEG_20200925T122756
35,2020-07-04,2020-09-02,T34SGG,59,990,S2B_MSIL2A_20200704T090559_N0214_R050_T34SGG_20200704T121522,S2B_MSIL2A_20200902T090559_N0214_R050_T34SGG_20200902T113910
36,2020-07-12,2020-09-13,T34SDH,61,346,S2A_MSIL2A_20200712T092031_N0214_R093_T34SDH_20200712T121319,S2A_MSIL2A_20200913T093041_N0214_R136_T34SDH_20200913T122841
37,2020-07-12,2020-09-25,T34SEG,66,781,S2A_MSIL2A_20200712T092031_N0214_R093_T34SEG_20200712T121319,S2B_MSIL2A_20200925T092029_N0214_R093_T34SEG_20200925T122756
38,2020-07-01,2020-08-30,T35SLV,55,0,S2B_MSIL2A_20200701T085559_N0214_R007_T35SLV_20200701T124301,S2B_MSIL2A_20200830T085559_N0214_R007_T35SLV_20200830T111825
39,2020-07-20,2020-08-01,T34SDJ,31,140,S2B_MSIL2A_20200720T093039_N0214_R136_T34SDJ_20200720T122148,S2A_MSIL2A_20200801T092031_N0214_R093_T34SDJ_20200801T120625
40,2020-07-29,2020-08-03,T34SGH,41,137,S2A_MSIL2A_20200729T090601_N0214_R050_T34SGH_20200729T120034,S2B_MSIL2A_20200803T090559_N0214_R050_T34SGH_20200803T122751
42,2020-07-24,2020-08-03,T34SFG,95,3696,S2B_MSIL2A_20200724T090559_N0214_R050_T34SFG_20200724T122547,S2B_MSIL2A_20200803T090559_N0214_R050_T34SFG_20200803T122751
43,2020-06-29,2020-08-18,T34SFH,33,2106,S2A_MSIL2A_20200629T090601_N0214_R050_T34SFH_20200629T120110,S2A_MSIL2A_20200818T090601_N0214_R050_T34SFH_20200818T115313
44,2020-06-30,2020-08-04,T34TDK,513,17,S2B_MSIL2A_20200630T093039_N0214_R136_T34TDK_20200630T122010,S2A_MSIL2A_20200804T093041_N0214_R136_T34TDK_20200804T121416
45,2020-07-12,2020-09-25,T34SEG,211,636,S2A_MSIL2A_20200712T092031_N0214_R093_T34SEG_20200712T121319,S2B_MSIL2A_20200925T092029_N0214_R093_T34SEG_20200925T122756
46,2020-08-16,2020-09-25,T34SFF,1738,376,S2B_MSIL2A_20200816T092029_N0214_R093_T34SFF_20200816T113749,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFF_20200925T122756
47,2020-07-24,2020-08-03,T34SFG,71,3720,S2B_MSIL2A_20200724T090559_N0214_R050_T34SFG_20200724T122547,S2B_MSIL2A_20200803T090559_N0214_R050_T34SFG_20200803T122751
48,2020-08-28,2020-09-27,T35TMF,218,1554,S2A_MSIL2A_20200828T090601_N0214_R050_T35TMF_20200828T114933,S2A_MSIL2A_20200927T090731_N0214_R050_T35TMF_20200927T120403
49,2020-08-28,2020-09-27,T35TMF,127,1645,S2A_MSIL2A_20200828T090601_N0214_R050_T35TMF_20200828T114933,S2A_MSIL2A_20200927T090731_N0214_R050_T35TMF_20200927T120403
50,2020-06-29,2020-08-18,T34SFH,45,2094,S2A_MSIL2A_20200629T090601_N0214_R050_T34SFH_20200629T120110,S2A_MSIL2A_20200818T090601_N0214_R050_T34SFH_20200818T115313
51,2020-08-03,2020-08-13,T35SMC,29,0,S2B_MSIL2A_20200803T090559_N0214_R050_T35SMC_20200803T122751,S2B_MSIL2A_20200813T090559_N0214_R050_T35SMC_20200813T120227
52,2020-07-24,2020-09-02,T34SFF,36,2114,S2B_MSIL2A_20200724T090559_N0214_R050_T34SFF_20200724T122547,S2B_MSIL2A_20200902T090559_N0214_R050_T34SFF_20200902T113910
53,2020-08-03,2020-08-18,T34SGE,352,30,S2B_MSIL2A_20200803T090559_N0214_R050_T34SGE_20200803T122751,S2A_MSIL2A_20200818T090601_N0214_R050_T34SGE_20200818T115313
54,2020-08-31,2020-09-25,T34SFJ,56,0,S2A_MSIL2A_20200831T092031_N0214_R093_T34SFJ_20200831T122905,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFJ_20200925T122756
55,2020-07-26,2020-08-30,T35SMB,31,0,S2A_MSIL2A_20200726T085601_N0214_R007_T35SMB_20200726T121141,S2B_MSIL2A_20200830T085559_N0214_R007_T35SMB_20200830T111825
56,2020-08-13,2020-08-15,T35SLB,121,242,S2B_MSIL2A_20200813T090559_N0214_R050_T35SLB_20200813T120227,S2A_MSIL2A_20200815T085601_N0214_R007_T35SLB_20200815T120903
57,2020-07-02,2020-08-31,T34SEH,44,312,S2A_MSIL2A_20200702T092031_N0214_R093_T34SEH_20200702T114806,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEH_20200831T122905
58,2020-08-13,2020-09-02,T35SMD,66,69,S2B_MSIL2A_20200813T090559_N0214_R050_T35SMD_20200813T120227,S2B_MSIL2A_20200902T090559_N0214_R050_T35SMD_20200902T113910
60,2020-07-24,2020-09-25,T34SFF,103,2011,S2B_MSIL2A_20200724T090559_N0214_R050_T34SFF_20200724T122547,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFF_20200925T122756
61,2020-08-31,2020-09-30,T34SEH,31,326,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEH_20200831T122905,S2A_MSIL2A_20200930T092031_N0214_R093_T34SEH_20200930T122328
62,2020-08-28,2020-08-31,T34SFG,136,3648,S2A_MSIL2A_20200828T090601_N0214_R050_T34SFG_20200828T114933,S2A_MSIL2A_20200831T092031_N0214_R093_T34SFG_20200831T122905
63,2020-08-31,2020-09-25,T34SFG,85,3833,S2A_MSIL2A_20200831T092031_N0214_R093_T34SFG_20200831T122905,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFG_20200925T122756
64,2020-09-03,2020-09-05,T34SDH,30,376,S2A_MSIL2A_20200903T093041_N0214_R136_T34SDH_20200903T120759,S2B_MSIL2A_20200905T092029_N0214_R093_T34SDH_20200905T113748
65,2020-08-31,2020-09-07,T34SFF,59,2055,S2A_MSIL2A_20200831T092031_N0214_R093_T34SFF_20200831T122905,S2A_MSIL2A_20200907T090601_N0214_R050_T34SFF_20200907T122358
66,2020-08-31,2020-09-05,T34SEJ,28,43,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEJ_20200831T122905,S2B_MSIL2A_20200905T092029_N0214_R093_T34SEJ_20200905T113748
67,2020-07-12,2020-09-13,T34SDH,51,355,S2A_MSIL2A_20200712T092031_N0214_R093_T34SDH_20200712T121319,S2A_MSIL2A_20200913T093041_N0214_R136_T34SDH_20200913T122841
68,2020-07-12,2020-09-13,T34SDH,31,375,S2A_MSIL2A_20200712T092031_N0214_R093_T34SDH_20200712T121319,S2A_MSIL2A_20200913T093041_N0214_R136_T34SDH_20200913T122841
69,2020-08-31,2020-09-25,T34SEG,77,770,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEG_20200831T122905,S2B_MSIL2A_20200925T092029_N0214_R093_T34SEG_20200925T122756
70,2020-08-30,2020-09-27,T35TMF,674,973,S2B_MSIL2A_20200830T085559_N0214_R007_T35TMF_20200830T111825,S2A_MSIL2A_20200927T090731_N0214_R050_T35TMF_20200927T120403
72,2020-09-13,2020-09-15,T34SDH,32,375,S2A_MSIL2A_20200913T093041_N0214_R136_T34SDH_20200913T122841,S2B_MSIL2A_20200915T092029_N0214_R093_T34SDH_20200915T112537
73,2020-08-31,2020-09-25,T34SFG,50,3868,S2A_MSIL2A_20200831T092031_N0214_R093_T34SFG_20200831T122905,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFG_20200925T122756
74,2020-08-04,2020-09-13,T34SDJ,117,171,S2A_MSIL2A_20200804T093041_N0214_R136_T34SDJ_20200804T121416,S2A_MSIL2A_20200913T093041_N0214_R136_T34SDJ_20200913T122841
77,2020-08-30,2020-09-27,T35TMF,50,1596,S2B_MSIL2A_20200830T085559_N0214_R007_T35TMF_20200830T111825,S2A_MSIL2A_20200927T090731_N0214_R050_T35TMF_20200927T120403
78,2020-09-15,2020-09-25,T34SFF,54,2059,S2B_MSIL2A_20200915T092029_N0214_R093_T34SFF_20200915T112537,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFF_20200925T122756
79,2020-09-15,2020-09-25,T34SFF,91,2023,S2B_MSIL2A_20200915T092029_N0214_R093_T34SFF_20200915T112537,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFF_20200925T122756
80,2020-08-04,2020-10-03,T34SDJ,139,150,S2A_MSIL2A_20200804T093041_N0214_R136_T34SDJ_20200804T121416,S2A_MSIL2A_20201003T093041_N0214_R136_T34SDJ_20201003T120846
81,2020-09-12,2020-09-27,T35TLF,34,56,S2B_MSIL2A_20200912T090559_N0214_R050_T35TLF_20200912T120358,S2A_MSIL2A_20200927T090731_N0214_R050_T35TLF_20200927T120403
82,2020-09-15,2020-09-25,T34SEH,88,268,S2B_MSIL2A_20200915T092029_N0214_R093_T34SEH_20200915T112537,S2B_MSIL2A_20200925T092029_N0214_R093_T34SEH_20200925T122756
83,2020-09-02,2020-09-27,T34SGH,36,143,S2B_MSIL2A_20200902T090559_N0214_R050_T34SGH_20200902T113910,S2A_MSIL2A_20200927T090731_N0214_R050_T34SGH_20200927T120403
85,2020-09-17,2020-09-29,T35SLB,84,279,S2A_MSIL2A_20200917T090631_N0214_R050_T35SLB_20200917T115739,S2B_MSIL2A_20200929T085709_N0214_R007_T35SLB_20200929T115457
86,2020-09-17,2020-10-04,T35SLB,88,275,S2A_MSIL2A_20200917T090631_N0214_R050_T35SLB_20200917T115739,S2A_MSIL2A_20201004T085831_N0214_R007_T35SLB_20201004T120123
87,2020-09-27,2020-10-04,T35TMF,538,1156,S2A_MSIL2A_20200927T090731_N0214_R050_T35TMF_20200927T120403,S2A_MSIL2A_20201004T085831_N0214_R007_T35TMF_20201004T120123
88,2020-08-31,2020-11-14,T34SEH,90,267,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEH_20200831T122905,S2B_MSIL2A_20201114T092239_N0214_R093_T34SEH_20201114T113523
89,2020-09-30,2020-10-18,T34SDG,171,71,S2A_MSIL2A_20200930T092031_N0214_R093_T34SDG_20200930T122328,S2B_MSIL2A_20201018T093039_N0214_R136_T34SDG_20201018T115550
91,2020-09-10,2020-11-19,T34SEF,29,0,S2A_MSIL2A_20200910T092031_N0214_R093_T34SEF_20200910T122928,S2A_MSIL2A_20201119T092301_N0214_R093_T34SEF_20201119T120234
92,2020-09-02,2020-10-24,T35SLD,68,0,S2B_MSIL2A_20200902T090559_N0214_R050_T35SLD_20200902T113910,S2A_MSIL2A_20201024T090041_N0214_R007_T35SLD_20201024T114948
93,2020-09-02,2020-10-24,T35SMD,69,66,S2B_MSIL2A_20200902T090559_N0214_R050_T35SMD_20200902T113910,S2A_MSIL2A_20201024T090041_N0214_R007_T35SMD_20201024T114948
94,2020-09-25,2020-11-01,T34SFF,69,2044,S2B_MSIL2A_20200925T092029_N0214_R093_T34SFF_20200925T122756,S2B_MSIL2A_20201101T091129_N0214_R050_T34SFF_20201101T113830
100,2020-09-27,2021-01-05,T34SGH,49,130,S2A_MSIL2A_20200927T090731_N0214_R050_T34SGH_20200927T120403,S2A_MSIL2A_20210105T091351_N0214_R050_T34SGH_20210105T121203
104,2020-07-12,2020-08-31,T34SEG,134,712,S2A_MSIL2A_20200712T092031_N0214_R093_T34SEG_20200712T121319,S2A_MSIL2A_20200831T092031_N0214_R093_T34SEG_20200831T122905
